"article.title","journal.title","journal.volume","pageStart","pageEnd","publication.year","citation","abstract"
"Lab4CE: a Remote Laboratory for Computer Education","International Journal of Artificial Intelligence in Education","volume27","154","180","2017","Broisin, J., Venant, R. & Vidal, P. Lab4CE: a Remote Laboratory for Computer Education. Int J Artif Intell Educ 27, 154–180 (2017). https://doi.org/10.1007/s40593-015-0079-3","Remote practical activities have been demonstrated to be efficient when learners come to acquire inquiry skills. In computer science education, virtualization technologies are gaining popularity as this technological advance enables instructors to implement realistic practical learning activities, and learners to engage in authentic and problem-based learning. However, virtualization solutions have not been designed especially for education and do not address any pedagogical concern. Since several large-scale studies showed that instructional supports during practical activities are almost as important as technical features, this article investigates the following research question: how the scaffolding around the lab increases students’ engagement in remote practical learning of computer science? To answer this question, we introduce the Lab4CE environment, a remote laboratory for computer education which adopts a distributed, modular and flexible architecture to integrate a set of scaffolding tools and services intended for instructors and learners. An exploratory study conducted with 139 undergraduate students enrolled in the first year of a computer science degree suggests a positive effect of the framework on learners’ engagement when they come to practice system administration, and reveals a significant positive correlation between students’ activity within the system and students’ learning achievement."
"Ask-Elle: an Adaptable Programming Tutor for Haskell Giving Automated Feedback","International Journal of Artificial Intelligence in Education","volume27","65","100","2017","Gerdes, A., Heeren, B., Jeuring, J. et al. Ask-Elle: an Adaptable Programming Tutor for Haskell Giving Automated Feedback. Int J Artif Intell Educ 27, 65–100 (2017). https://doi.org/10.1007/s40593-015-0080-x","Ask-Elle is a tutor for learning the higher-order, strongly-typed functional programming language Haskell. It supports the stepwise development of Haskell programs by verifying the correctness of incomplete programs, and by providing hints. Programming exercises are added to Ask-Elle by providing a task description for the exercise, one or more model solutions, and properties that a solution should satisfy. The properties and model solutions can be annotated with feedback messages, and the amount of flexibility that is allowed in student solutions can be adjusted. The main contribution of our work is the design of a tutor that combines (1) the incremental development of different solutions in various forms to a programming exercise with (2) automated feedback and (3) teacher-specified programming exercises, solutions, and properties. The main functionality is obtained by means of strategy-based model tracing and property-based testing. We have tested the feasibility of our approach in several experiments, in which we analyse both intermediate and final student solutions to programming exercises, amongst others."
"Interaction with an Edu-Game: A Detailed Analysis of Student Emotions and Judges’ Perceptions","International Journal of Artificial Intelligence in Education","volume26","975","1010","2016","Conati, C., Gutica, M. Interaction with an Edu-Game: A Detailed Analysis of Student Emotions and Judges’ Perceptions. Int J Artif Intell Educ 26, 975–1010 (2016). https://doi.org/10.1007/s40593-015-0081-9","We present the results of a study that explored the emotions experienced by students during interaction with an educational game for math (Heroes of Math Island). Starting from emotion frameworks in affective computing and education, we considered a larger set of emotions than in related research. For emotion labeling, we started from a standard methodology that relies on trained judges to report emotions over 20-s intervals, however, we asked judges to report all observed emotions in each interval, as opposed to only choosing one, as is standard practice. This variation allows us to discuss the appropriateness of this interval for emotion labeling. We present a detailed analysis of interrater reliability, both aggregated and over individual students, that considers not only labeling agreement among judges in terms of emotion type, but also with respect to the number of emotions detected. We also provide an analysis based on in-depth one-to-one interviews with judges, to gain insights on the challenges they encountered in labeling emotions."
"An Interview Reflection on “Intelligent Tutoring Goes to School in the Big City”","International Journal of Artificial Intelligence in Education","volume26","13","24","2016","Koedinger, K.R., Aleven, V. An Interview Reflection on “Intelligent Tutoring Goes to School in the Big City”. Int J Artif Intell Educ 26, 13–24 (2016). https://doi.org/10.1007/s40593-015-0082-8","Our 1997 article in IJAIED reported on a study that showed that a new algebra curriculum with an embedded intelligent tutoring system (the Algebra Cognitive Tutor) dramatically enhanced high-school students’ learning. The main motivation for the study was to demonstrate that intelligent tutors that have cognitive science research embedded in them could have real impact in schools. This study was one of the first large-scale classroom evaluations of the integrated use of an Intelligent Tutoring System (ITS) in high schools. A core challenge was figuring out how to embed this new technology into a curriculum and into the existing social context of schools. A key element of the study design was to include multiple kinds of assessments, including standardized test items and items measuring complex problem solving and use of representations. The results were powerful: “On average the 470 students in experimental classes outperformed students in comparison classes by 15 % on standardized tests and 100 % on tests targeting the [course] objectives.” We suggested that the study was evidence “that laboratory tutoring systems can be scaled up and made to work, both technically and pedagogically, in real and unforgiving settings like urban high schools.” Since this study, many more classroom studies comparing instruction that includes an ITS against business as usual have been conducted, often showing advantages for the ITS-enhanced curricula. More rigorous randomized field trials are now more commonplace, but the approach of using multiple assessments in large-scale randomized field trials has not caught on. Cognitive task analysis will remain fundamental to the success of ITSs. A key remaining question for ITS is to find out how they can be used most effectively to support open-ended problem solving, either online or offline. Given all the recent excitement around Massive Open Online Courses (MOOCs), it is interesting to note that our field of Artificial Intelligence in Education has been making huge, less recognized, progress with impact on millions of students and with the majority of those students finishing the course!"
"Taking Control: Stealth Assessment of Deterministic Behaviors Within a Game-Based System","International Journal of Artificial Intelligence in Education","volume26","1011","1032","2016","Snow, E.L., Likens, A.D., Allen, L.K. et al. Taking Control: Stealth Assessment of Deterministic Behaviors Within a Game-Based System. Int J Artif Intell Educ 26, 1011–1032 (2016). https://doi.org/10.1007/s40593-015-0085-5","Game-based environments frequently afford students the opportunity to exert agency over their learning paths by making various choices within the environment. The combination of log data from these systems and dynamic methodologies may serve as a stealth means to assess how students behave (i.e., deterministic or random) within these learning environments. The current work captures variations in students’ behavior patterns by employing two dynamic analyses to classify students’ sequences of choices within an adaptive learning environment. Random Walk analyses and Hurst exponents were used to classify students’ interaction patterns as random or deterministic. Forty high school students interacted with the game-based system, iSTART-ME, for 11-sessions (pretest, 8 training sessions, posttest, and a delayed retention test). Analyses revealed that students who interacted in a more deterministic manner also generated higher quality self-explanations during training sessions. The results point toward the potential for dynamic analyses such as random walk analyses and Hurst exponents to provide stealth assessments of students’ learning behaviors while engaged within a game-based environment."
"Conversations with AutoTutor Help Students Learn","International Journal of Artificial Intelligence in Education","volume26","124","132","2016","Graesser, A.C. Conversations with AutoTutor Help Students Learn. Int J Artif Intell Educ 26, 124–132 (2016). https://doi.org/10.1007/s40593-015-0086-4","AutoTutor helps students learn by holding a conversation in natural language. AutoTutor is adaptive to the learners’ actions, verbal contributions, and in some systems their emotions. Many of AutoTutor’s conversation patterns simulate human tutoring, but other patterns implement ideal pedagogies that open the door to computer tutors eclipsing human tutors in learning gains. Indeed, current versions of AutoTutor yield learning gains on par with novice and expert human tutors. This article selectively highlights the status of AutoTutor’s dialogue moves, learning gains, implementation challenges, differences between human and ideal tutors, and some of the systems that evolved from AutoTutor. Current and future AutoTutor projects are investigating three-party conversations, called trialogues, where two agents (such as a tutor and student) interact with the human learner."
"Example-Tracing Tutors: Intelligent Tutor Development for Non-programmers","International Journal of Artificial Intelligence in Education","volume26","224","269","2016","Aleven, V., McLaren, B.M., Sewall, J. et al. Example-Tracing Tutors: Intelligent Tutor Development for Non-programmers. Int J Artif Intell Educ 26, 224–269 (2016). https://doi.org/10.1007/s40593-015-0088-2","In 2009, we reported on a new Intelligent Tutoring Systems (ITS) technology, example-tracing tutors, that can be built without programming using the Cognitive Tutor Authoring Tools (CTAT). Creating example-tracing tutors was shown to be 4–8 times as cost-effective as estimates for ITS development from the literature. Since 2009, CTAT and its associated learning management system, the Tutorshop, have been extended and have been used for both research and real-world instruction. As evidence that example-tracing tutors are an effective and mature ITS paradigm, CTAT-built tutors have been used by approximately 44,000 students and account for 40 % of the data sets in DataShop, a large open repository for educational technology data sets. We review 18 example-tracing tutors built since 2009, which have been shown to be effective in helping students learn in real educational settings, often with large pre/post effect sizes. These tutors support a variety of pedagogical approaches, beyond step-based problem solving, including collaborative learning, educational games, and guided invention activities. CTAT and other ITS authoring tools illustrate that non-programmer approaches to building ITS are viable and useful and will likely play a key role in making ITS widespread."
"Help Helps, But Only So Much: Research on Help Seeking with Intelligent Tutoring Systems","International Journal of Artificial Intelligence in Education","volume26","205","223","2016","Aleven, V., Roll, I., McLaren, B.M. et al. Help Helps, But Only So Much: Research on Help Seeking with Intelligent Tutoring Systems. Int J Artif Intell Educ 26, 205–223 (2016). https://doi.org/10.1007/s40593-015-0089-1","Help seeking is an important process in self-regulated learning (SRL). It may influence learning with intelligent tutoring systems (ITSs), because many ITSs provide help, often at the student’s request. The Help Tutor was a tutor agent that gave in-context, real-time feedback on students’ help-seeking behavior, as they were learning with an ITS. Key goals were to help students become better self-regulated learners and help them achieve better domain-level learning outcomes. In a classroom study, feedback on help seeking helped students to use on-demand help more deliberately, even after the feedback was no longer given, but not to achieve better learning outcomes. The work made a number of contributions, including the creation of a knowledge-engineered, rule-based, executable model of help seeking that can drive tutoring. We review these contributions from a contemporary perspective, with a theoretical analysis, a review of recent empirical literature on help seeking with ITSs, and methodological suggestions. Although we do not view on-demand, principle-based help during tutored problem solving as being as important as we once did, we still view it as helpful under certain circumstances, and recommend that it be included in ITSs. We view the goal of helping students become better self-regulated learners as one of the grand challenges in ITSs research today."
"Do You Think You Can? The Influence of Student Self-Efficacy on the Effectiveness of Tutorial Dialogue for Computer Science","International Journal of Artificial Intelligence in Education","volume27","130","153","2017","Wiggins, J.B., Grafsgaard, J.F., Boyer, K.E. et al. Do You Think You Can? The Influence of Student Self-Efficacy on the Effectiveness of Tutorial Dialogue for Computer Science. Int J Artif Intell Educ 27, 130–153 (2017). https://doi.org/10.1007/s40593-015-0091-7","In recent years, significant advances have been made in intelligent tutoring systems, and these advances hold great promise for adaptively supporting computer science (CS) learning. In particular, tutorial dialogue systems that engage students in natural language dialogue can create rich, adaptive interactions. A promising approach to increasing the effectiveness of these systems is to adapt not only to problem-solving performance, but also to a student’s characteristics. Self-efficacy refers to a student’s view of her ability to complete learning objectives and to achieve goals; this characteristic may be particularly influential during tutorial dialogue for computer science education. This article examines a corpus of effective human tutoring for computer science to discover the extent to which considering self-efficacy as measured within a pre-survey, coupled with dialogue and task events during tutoring, improves models that predict the student’s self-reported frustration and learning gains after tutoring. The analysis reveals that students with high and low self-efficacy benefit differently from tutorial dialogue. Student control, social dialogue, and tutor moves to increase efficiency, may be particularly helpful for high self-efficacy students, while for low self-efficacy students, guided experimentation may foster greater learning while at the same time potentially increasing frustration. It is hoped that this line of research will enable tutoring systems for computer science to tailor their tutorial interactions more effectively."
"Learning Science by Constructing Models: Can Dragoon Increase Learning without Increasing the Time Required?","International Journal of Artificial Intelligence in Education","volume26","1033","1068","2016","VanLehn, K., Chung, G., Grover, S. et al. Learning Science by Constructing Models: Can Dragoon Increase Learning without Increasing the Time Required?. Int J Artif Intell Educ 26, 1033–1068 (2016). https://doi.org/10.1007/s40593-015-0093-5","A common hypothesis is that students will more deeply understand dynamic systems and other complex phenomena if they construct computational models of them. Attempts to demonstrate the advantages of model construction have been stymied by the long time required for students to acquire skill in model construction. In order to make model construction a feasible vehicle for science instruction, the Dragoon system combined three simplifications: (1) a simple notation for models of dynamic systems, (2) a step-based tutoring system, and (3) problems that described the model to be constructed as well as the system represented by the model. In order to test whether these simplifications reduced the time for learning how to construct models while preserving the benefits of model construction over baseline instruction, three classroom studies were conducted. All studies were experiments, in that they compared classes using Dragoon to classes learning the same material without Dragoon. However, as classroom studies, they could not tightly control all sources of variation. The first study produced null results, but it compared learning across just one class period. The second study in 4 high school science classes showed that instruction based on Dragoon cost only one extra class period (about 50 min) out of 4 class periods and was more effective than the same content taught without Dragoon. A third study in 3 more high school science classes, where 2 Dragoon classes and 1 non-Dragoon class met for the same number of class periods, showed that Dragoon was more effective than the same content taught without Dragoon. The effect sizes were moderately large on both an open response test (d<U+2009>=<U+2009>1.00) and a concept mapping task (d<U+2009>=<U+2009>0.49). Thus, it appears that our efforts have simplified model construction to the point that it can be used in science instruction with no additional class time needed, and yet it still seems to be more effective than the same instruction done without model construction."
"The Future of Adaptive Learning: Does the Crowd Hold the Key?","International Journal of Artificial Intelligence in Education","volume26","615","644","2016","Heffernan, N.T., Ostrow, K.S., Kelly, K. et al. The Future of Adaptive Learning: Does the Crowd Hold the Key?. Int J Artif Intell Educ 26, 615–644 (2016). https://doi.org/10.1007/s40593-016-0094-z","Due to substantial scientific and practical progress, learning technologies can effectively adapt to the characteristics and needs of students. This article considers how learning technologies can adapt over time by crowdsourcing contributions from teachers and students – explanations, feedback, and other pedagogical interactions. Considering the context of ASSISTments, an online learning platform, we explain how interactive mathematics exercises can provide the workflow necessary for eliciting feedback contributions and evaluating those contributions, by simply tapping into the everyday system usage of teachers and students. We discuss a series of randomized controlled experiments that are currently running within ASSISTments, with the goal of establishing proof of concept that students and teachers can serve as valuable resources for the perpetual improvement of adaptive learning technologies. We also consider how teachers and students can be motivated to provide such contributions, and discuss the plans surrounding PeerASSIST, an infrastructure that will help ASSISTments to harness the power of the crowd. Algorithms from machine learning (i.e., multi-armed bandits) will ideally provide a mechanism for managerial control, allowing for the automatic evaluation of contributions and the personalized provision of the highest quality content. In many ways, the next 25 years of adaptive learning technologies will be driven by the crowd, and this article serves as the road map that ASSISTments has chosen to follow."
"Letting Artificial Intelligence in Education Out of the Box: Educational Cobots and Smart Classrooms","International Journal of Artificial Intelligence in Education","volume26","701","712","2016","Timms, M.J. Letting Artificial Intelligence in Education Out of the Box: Educational Cobots and Smart Classrooms. Int J Artif Intell Educ 26, 701–712 (2016). https://doi.org/10.1007/s40593-016-0095-y","This paper proposes that the field of AIED is now mature enough to break away from being delivered mainly through computers and pads so that it can engage with students in new ways and help teachers to teach more effectively. Mostly, the intelligent systems that AIED has delivered so far have used computers and other devices that were essentially designed for businesses or personal use, and not specifically for education. The future holds the promise of creating technologies designed specifically for learning and teaching by combining the power of AIED with advances in the field of robotics and in the increasing use of sensor devices to monitor our surroundings and actions. The paper assumes that “schools” (i.e., a place where children will gather to learn) will still exist in some shape or form in 25 years and that teachers will continue to oversee and promote learning among the students. It proposes that there will be educational cobots assisting teachers in the classrooms of tomorrow and provides examples from current work in robotics. It also envisions smart classrooms that make use of sensors to support learning and illustrates how they might be used in new ways if AIED applications are embedded into them."
"Optimists’ Creed: Brave New Cyberlearning, Evolving Utopias (Circa 2041)","International Journal of Artificial Intelligence in Education","volume26","796","808","2016","Burleson, W., Lewis, A. Optimists’ Creed: Brave New Cyberlearning, Evolving Utopias (Circa 2041). Int J Artif Intell Educ 26, 796–808 (2016). https://doi.org/10.1007/s40593-016-0096-x","This essay imagines the role that artificial intelligence innovations play in the integrated living, learning and research environments of 2041. Here, in 2041, in the context of increasingly complex wicked challenges, whose solutions by their very nature continue to evade even the most capable experts, society and technology have co-evolved to embrace cyberlearning as an essential tool for envisioning and refining utopias–non-existent societies described in considerable detail. Our society appreciates that evolving these utopias is critical to creating and resolving wicked challenges and to better understanding how to create a world in which we are actively “learning to be” – deeply engaged in intrinsically motivating experiences that empower each of us to reach our full potential. Since 2015, Artificial Intelligence in Education (AIED) has transitioned from what was primarily a research endeavour, with educational impact involving millions of user/learners, to serving, now, as a core contributor to democratizing learning (Dewey 2004) and active citizenship for all (billions of learners throughout their lives). An expansive experiential super computing cyberlearning environment, we affectionately call the “Holodeck,” supports transdisciplinary collaboration and integrated education, research, and innovation, providing a networked software/hardware infrastructure that synthesizes visual, audio, physical, social, and societal components. The Holodeck’s large-scale integration of learning, research, and innovation, through real-world problem solving and teaching others what you have learned, effectively creates a global meritocratic network with the potential to resolve society’s wicked challenges while empowering every citizen to realize her or his full potential."
"Perceived Task-Difficulty Recognition from Log-file Information for the Use in Adaptive Intelligent Tutoring Systems","International Journal of Artificial Intelligence in Education","volume26","855","876","2016","Janning, R., Schatten, C. & Schmidt-Thieme, L. Perceived Task-Difficulty Recognition from Log-file Information for the Use in Adaptive Intelligent Tutoring Systems. Int J Artif Intell Educ 26, 855–876 (2016). https://doi.org/10.1007/s40593-016-0097-9","Recognising students’ emotion, affect or cognition is a relatively young field and still a challenging task in the area of intelligent tutoring systems. There are several ways to use the output of these recognition tasks within the system. The approach most often mentioned in the literature is using it for giving feedback to the students. The features used for that approach can be high-level features like linguistics features which are words related to emotions or affects, taken e.g. from written or spoken inputs, or low-level features like log-file features which are created from information contained in the log-files. In this work we aim at supporting task sequencing by perceived task-difficulty recognition on low-level features easily extracted from the log-file. We analyse these features by statistical tests showing that there are statistically significant feature combinations and hence the presented features are able to describe students’ perceived task-difficulty in intelligent tutoring systems. Furthermore, we apply different classification methods to the log-file features for perceived task-difficulty recognition and present a kind of higher ensemble method for improving the classification performance on the features extracted from a real data set. The presented approach outperforms classical ensemble methods and is able to improve the classification performance substantially, enabling a perceived task-difficulty recognition satisfactory enough for employing its output for components of a real system like task independent support or task sequencing."
"ITS, The End of the World as We Know It: Transitioning AIED into a Service-Oriented Ecosystem","International Journal of Artificial Intelligence in Education","volume26","756","770","2016","Nye, B.D. ITS, The End of the World as We Know It: Transitioning AIED into a Service-Oriented Ecosystem. Int J Artif Intell Educ 26, 756–770 (2016). https://doi.org/10.1007/s40593-016-0098-8","Advanced learning technologies are reaching a new phase of their evolution where they are finally entering mainstream educational contexts, with persistent user bases. However, as AIED scales, it will need to follow recent trends in service-oriented and ubiquitous computing: breaking AIED platforms into distinct services that can be composed for different platforms (web, mobile, etc.) and distributed across multiple systems. This will represent a move from learning platforms to an ecosystem of interacting learning tools. Such tools will enable new opportunities for both user-adaptation and experimentation. Traditional macro-adaptation (problem selection) and step-based adaptation (hints and feedback) will be extended by meta-adaptation (adaptive system selection) and micro-adaptation (event-level optimization). The existence of persistent and widely-used systems will also support new paradigms for experimentation in education, allowing researchers to understand interactions and boundary conditions for learning principles. New central research questions for the field will also need to be answered due to these changes in the AIED landscape."
"Another 25 Years of AIED? Challenges and Opportunities for Intelligent Educational Technologies of the Future","International Journal of Artificial Intelligence in Education","volume26","771","783","2016","Pinkwart, N. Another 25 Years of AIED? Challenges and Opportunities for Intelligent Educational Technologies of the Future. Int J Artif Intell Educ 26, 771–783 (2016). https://doi.org/10.1007/s40593-016-0099-7","This paper attempts an analysis of some current trends and future developments in computer science, education, and educational technology. Based on these trends, two possible future predictions of AIED are presented in the form of a utopian vision and a dystopian vision. A comparison of these two visions leads to seven challenges that AIED might have to face in the future: intercultural and global dimensions, practical impact, privacy, interaction methods, collaboration at scale, effectiveness in multiple domains, and the role of AIED in educational technology. The paper discusses these challenges and the associated risks and opportunities."
"We’re in this Together: Intentional Design of Social Relationships with AIED Systems","International Journal of Artificial Intelligence in Education","volume26","713","729","2016","Walker, E., Ogan, A. We’re in this Together: Intentional Design of Social Relationships with AIED Systems. Int J Artif Intell Educ 26, 713–729 (2016). https://doi.org/10.1007/s40593-016-0100-5","Students’ relationships with their peers, teachers, and communities influence the ways in which they approach learning activities and the degree to which they benefit from them. Learning technologies, ranging from humanoid robots to text-based prompts on a computer screen, have a similar social influence on students. We envision a future in which AIED systems adaptively create social relationships with their learners in addition to modeling student learning and providing adaptive cognitive support. By deliberate design of the relationships between learners and systems, the systems can have maximal impact on student learning and engagement. This deliberate design would include careful consideration of the type of learning technology and its channels of communication with the learner, the broader context of the interaction, and the history of the relationship between the student and the learning technology. To achieve this vision, as a field, we will need to build understanding of how relationships form in human-technology settings, and how educational technologies should be advanced to support the assessment and monitoring of meaningful relationship factors over time."
"AI as a Methodology for Supporting Educational Praxis and Teacher Metacognition","International Journal of Artificial Intelligence in Education","volume26","679","700","2016","Porayska-Pomsta, K. AI as a Methodology for Supporting Educational Praxis and Teacher Metacognition. Int J Artif Intell Educ 26, 679–700 (2016). https://doi.org/10.1007/s40593-016-0101-4","Evidence-based practice (EBP) is of critical importance in education where emphasis is placed on the need to equip educators with an ability to independently generate and reflect on evidence of their practices in situ – a process also known as praxis. This paper examines existing research related to teachers’ metacognitive skills and, using two exemplar projects, it discusses the utility and relevance of AI methods of knowledge representation and knowledge elicitation as methodologies for supporting EBP. Research related to technology-enhanced communities of practice as a means for teachers to share and compare their knowledge with others is also examined. Suggestions for the key considerations in supporting teachers’ metacognition in praxis are made based on the review of literature and discussion of the specific projects, with the aim to highlight potential future research directions for AIEd. A proposal is made that a crucial part of AIEd’s future resides in its curating the role of AI as a methodology for supporting teacher training and continuous professional development, especially as relates to their developing metacognitive skills in relation to their practices."
"Different Futures of Adaptive Collaborative Learning Support","International Journal of Artificial Intelligence in Education","volume26","784","795","2016","Rummel, N., Walker, E. & Aleven, V. Different Futures of Adaptive Collaborative Learning Support. Int J Artif Intell Educ 26, 784–795 (2016). https://doi.org/10.1007/s40593-016-0102-3","In this position paper we contrast a Dystopian view of the future of adaptive collaborative learning support (ACLS) with a Utopian scenario that – due to better-designed technology, grounded in research – avoids the pitfalls of the Dystopian version and paints a positive picture of the practice of computer-supported collaborative learning 25 years from now. We discuss research that we see as important in working towards a Utopian future in the next 25 years. In particular, we see a need to work towards a comprehensive instructional framework building on educational theory. This framework will allow us to provide nuanced and flexible (i.e. intelligent) ACLS to collaborative learners – the type of support we sketch in our Utopian scenario."
"Training the Body: The Potential of AIED to Support Personalized Motor Skills Learning","International Journal of Artificial Intelligence in Education","volume26","730","755","2016","Santos, O.C. Training the Body: The Potential of AIED to Support Personalized Motor Skills Learning. Int J Artif Intell Educ 26, 730–755 (2016). https://doi.org/10.1007/s40593-016-0103-2","This paper argues that the research field of Artificial Intelligence in Education (AIED) can benefit from integrating recent technological advances (e.g., wearable devices, big data processing, 3D modelling, 3D printing, ambient intelligence) and design methodologies, such as TORMES, when developing systems that address the psychomotor learning domain. In particular, the acquisition of motor skills could benefit from individualized instruction and support just as cognitive skills learning has over the last decades. To this point, procedural learning has been considered since the earliest days of AIED (dating back to the 1980’s). However, AIED developments in motor skills learning have lagged significantly behind. As technology has evolved, and supported by the do-it-yourself and quantified-self movements, it is now possible to integrate emerging interactive technologies in order to provide personal awareness and reflection for behavioural change at low cost and with low intrusion. Many activities exist that would benefit from personalizing motor skills learning, such as playing a musical instrument, handwriting, drawing, training for surgery, improving the technique in sports and martial arts, learning sign language, dancing, etc. In this context, my suggestions for AIED research in the coming 25 years focus on addressing challenges regarding 1) modelling the psychomotor interaction, and 2) providing appropriate personalized psychomotor support."
"Giving Eyesight to the Blind: Towards Attention-Aware AIED","International Journal of Artificial Intelligence in Education","volume26","645","659","2016","D’Mello, S.K. Giving Eyesight to the Blind: Towards Attention-Aware AIED. Int J Artif Intell Educ 26, 645–659 (2016). https://doi.org/10.1007/s40593-016-0104-1","There is an inextricable link between attention and learning, yet AIED systems in 2015 are largely blind to learners’ attentional states. We argue that next-generation AIED systems should have the ability to monitor and dynamically (re)direct attention in order to optimize allocation of sparse attentional resources. We present some initial ideas towards achieving this goal, starting with a 2<U+2009>×<U+2009>2 (direction of attention × content of thoughts) organizational framework that encapsulates a range of attentional states including overt inattention, covert inattention, zone outs, tune outs, and focused, alternating, and divided attention. We then sketch out a three component attentional computing architecture consisting of: (1) devices to monitor where attention appears to be directed; (2) mechanisms for real-time attentional state diagnosis; and (3) interventions to dynamically (re)direct attention. We describe two closed-loop attention-aware AIED systems to serve as concrete renditions of these ideas. We conclude by arguing that AIED can achieve the dual goals of advancing basic research on the science of learning while simultaneously developing highly-effective AIED systems by “attending to attention.”"
"Stupid Tutoring Systems, Intelligent Humans","International Journal of Artificial Intelligence in Education","volume26","600","614","2016","Baker, R.S. Stupid Tutoring Systems, Intelligent Humans. Int J Artif Intell Educ 26, 600–614 (2016). https://doi.org/10.1007/s40593-016-0105-0","The initial vision for intelligent tutoring systems involved powerful, multi-faceted systems that would leverage rich models of students and pedagogies to create complex learning interactions. But the intelligent tutoring systems used at scale today are much simpler. In this article, I present hypotheses on the factors underlying this development, and discuss the potential of educational data mining driving human decision-making as an alternate paradigm for online learning, focusing on intelligence amplification rather than artificial intelligence."
"The Evolution of Research on Digital Education","International Journal of Artificial Intelligence in Education","volume26","544","560","2016","Dillenbourg, P. The Evolution of Research on Digital Education. Int J Artif Intell Educ 26, 544–560 (2016). https://doi.org/10.1007/s40593-016-0106-z","How does AI&EdAIED today compare to 25 years ago? This paper addresses this evolution by identifying six trends. The trends are ongoing and will influence learning technologies going forward. First, the physicality of interactions and the physical space of the learner became genuine components of digital education. The frontier between the digital and the physical has faded out. Similarly, the opposition between individual and social views on cognition has been subsumed by integrated learning scenarios, which means that AIED pays more attention today to social interactions than it did at its outset. Another trend is the processing of learners’ behavioural particles, which do not carry very many semantics when considered individually, but are predictive of knowledge states when large data sets are processed with machine learning methods. The development of probabilistic models and the integration of crowdsourcing methods has produced another trend: the design of learning environments has become less deterministic than before. The notion of learning environment evolved from a rather closed box to an open ecosystem in which multiple components are distributed over multiple platforms and where multiple stakeholders interact. Among these stakeholders, it is important to notice that teachers play a more important role than before: they interact not only at the design phase (authoring) but also in the runtime phase (orchestration). These trends are not specific to AIED; they depict the evolution of learning technologies as a whole."
"Technology Support for Discussion Based Learning: From Computer Supported Collaborative Learning to the Future of Massive Open Online Courses","International Journal of Artificial Intelligence in Education","volume26","660","678","2016","Rosé, C.P., Ferschke, O. Technology Support for Discussion Based Learning: From Computer Supported Collaborative Learning to the Future of Massive Open Online Courses. Int J Artif Intell Educ 26, 660–678 (2016). https://doi.org/10.1007/s40593-016-0107-y","This article offers a vision for technology supported collaborative and discussion-based learning at scale. It begins with historical work in the area of tutorial dialogue systems. It traces the history of that area of the field of Artificial Intelligence in Education as it has made an impact on the field of Computer-Supported Collaborative Learning through the creation of forms of dynamic support for collaborative learning, and makes an argument for the importance of advances in the field of Language Technologies for this work. In particular, this support has been enabled by an integration of text mining and conversational agents to form a novel type of micro-script support for productive discussion processes. This research from the early part of the century has paved the way for emerging technologies that support discussion-based learning at scale in Massive Open Online Courses (MOOCs). In the next 25 years, we expect to see this early, emerging work in MOOC contexts grow into ubiquitously available social learning approaches in free online learning environments like MOOCs, or what comes next in the online learning space. These ambitious social learning approaches include Problem Based Learning, Team Project Based Learning, and Collaborative Reflection. We expect to see the capability of drawing in and effectively supporting learners of all walks of life, especially impacting currently under-served learners. To that end, we describe the current exploratory efforts to deploy technology supported collaborative and discussion-based learning in MOOCs and offer a vision for work going forward into the next decade, where we envision learning communities and open collaborative work communities coming together as persistent technology supported and enhanced communities of practice."
"Evolution Is not enough: Revolutionizing Current Learning Environments to Smart Learning Environments","International Journal of Artificial Intelligence in Education","volume26","561","581","2016","Kinshuk, Chen, N., Cheng, I. et al. Evolution Is not enough: Revolutionizing Current Learning Environments to Smart Learning Environments. Int J Artif Intell Educ 26, 561–581 (2016). https://doi.org/10.1007/s40593-016-0108-x","Advances in technology in recent years have changed the learning behaviors of learners and reshaped teaching methods. This had resulted in several challenges faced by current educational systems, such as an increased focus on informal learning, a growing gap of prior knowledge among students in classrooms and a mismatch between individual career choices and the development of the work force. This paper looks at these challenges with a view towards revolutionizing current learning environments to smart learning environments and provides new suggestions for technological solutions. Furthermore, this paper argues for a transformation from the current learning environments to smart learning environments. This is to be achieved by reengineering the fundamental structure and operations of current educational systems to better integrate these new technologies with the required pedagogical shift. The future perspectives of smart learning environments are reviewed and shared, through examples of emerging innovations such as the flipped classroom, game based learning, gesture based learning, along with pedagogical shifts, such as life-long learning portfolio maintenance, team teaching, and separation of learning and competency assessment."
"Preface to the IJAIED 25th Anniversary Issue, Part 2","International Journal of Artificial Intelligence in Education","volume26","539","543","2016","Lane, H.C., McCalla, G., Looi, C. et al. Preface to the IJAIED 25th Anniversary Issue, Part 2. Int J Artif Intell Educ 26, 539–543 (2016). https://doi.org/10.1007/s40593-016-0109-9",""
